"age","workclass","education","education.num","marital.status","occupation","relationship","race","sex","hours.per.week","profit","married","milk","bread","butter","honey","jam","peanut","Badam","Cashew","pista","Tea","Coffee","Biscuits","Nuts"
39,8,10,13,5,2,2,5,2,40,2174,0,F,F,F,F,T,T,T,F,T,F,T,T,F
50,7,10,13,3,5,1,5,2,13,0,1,T,T,T,F,T,F,F,T,F,T,T,T,F
38,5,12,9,1,7,2,5,2,40,0,0,F,F,F,T,F,T,F,F,T,F,F,F,F
53,5,2,7,3,7,1,3,2,40,0,1,T,T,T,T,F,T,T,F,F,T,F,F,F
28,5,10,13,3,11,6,3,1,40,0,1,T,T,T,T,T,F,T,T,T,T,T,F,T
37,5,13,14,3,5,6,5,1,40,0,1,T,T,T,F,T,F,T,T,F,F,F,T,T
49,5,7,5,4,9,2,3,1,16,0,0,T,T,T,F,T,T,T,F,T,T,T,F,F
52,7,12,9,3,5,1,5,2,45,0,1,T,T,T,F,T,F,F,T,T,F,T,T,F
31,5,13,14,5,11,2,5,1,50,14084,0,F,F,F,F,T,T,F,T,T,T,T,T,T
42,5,10,13,3,5,1,5,2,40,5178,1,T,T,T,F,T,T,T,F,F,F,T,F,T
37,5,16,10,3,5,1,3,2,80,0,1,T,T,T,F,F,F,T,F,F,T,F,T,F
30,8,10,13,3,11,1,2,2,40,0,1,T,T,T,T,F,T,T,F,T,F,T,T,T
23,5,10,13,5,2,4,5,1,30,0,0,T,T,T,T,F,T,T,F,T,F,F,F,F
32,5,8,12,5,13,2,3,2,50,0,0,T,T,T,T,F,T,F,T,F,F,T,T,F
40,5,9,11,3,4,1,2,2,40,0,1,T,T,T,T,T,F,T,T,T,F,F,F,T
34,5,6,4,3,15,1,1,2,45,0,1,T,T,T,F,T,F,F,F,T,F,F,F,F
25,7,12,9,5,6,4,5,2,35,0,0,T,T,T,T,F,T,F,T,F,F,F,T,T
32,5,12,9,5,8,5,5,2,40,0,0,F,F,F,F,F,F,T,F,T,F,F,F,T
38,5,2,7,3,13,1,5,2,50,0,1,F,F,F,T,F,T,F,T,T,F,F,T,T
43,7,13,14,1,5,5,5,1,45,0,0,T,T,T,T,F,F,F,T,F,T,T,F,F
40,5,11,16,3,11,1,5,2,60,0,1,T,T,T,T,T,T,T,F,T,T,F,F,F
54,5,12,9,6,9,5,3,1,20,0,0,F,F,F,F,F,T,T,F,F,T,F,T,F
35,2,7,5,3,6,1,3,2,40,0,1,F,F,F,T,F,T,T,F,T,F,F,F,T
43,5,2,7,3,15,1,5,2,40,-2042,1,F,F,F,F,T,T,F,F,T,F,T,F,T
59,5,12,9,1,14,5,5,1,40,0,0,T,T,T,F,T,T,T,T,F,T,T,T,T
56,3,10,13,3,14,1,5,2,40,0,1,F,F,F,T,F,T,F,T,F,F,F,F,T
19,5,12,9,5,4,4,5,2,40,0,0,F,F,F,F,F,F,T,F,T,T,F,T,T
54,1,16,10,3,1,1,2,2,60,0,1,T,T,T,T,T,F,F,T,F,T,T,F,T
39,5,12,9,1,5,2,5,2,80,0,0,F,F,F,T,F,T,T,T,T,F,F,F,F
49,5,12,9,3,4,1,5,2,40,0,1,F,F,F,T,F,F,T,F,F,F,F,F,T
23,3,8,12,5,12,2,5,2,52,0,0,T,T,T,F,F,F,F,F,F,F,T,T,F
20,5,16,10,5,13,4,3,2,44,0,0,T,T,T,T,F,T,F,T,T,T,F,T,T
45,5,10,13,1,5,4,5,2,40,-1408,0,T,T,T,F,T,T,T,F,T,T,T,F,F
30,2,16,10,3,2,4,5,2,40,0,0,T,T,T,F,T,F,F,T,T,F,F,T,T
22,8,16,10,3,9,1,3,2,15,0,1,F,F,F,T,F,F,F,F,F,F,T,T,F
48,5,2,7,5,8,5,5,2,40,0,0,F,F,F,T,F,T,T,F,T,F,F,F,F
21,5,16,10,5,8,4,5,2,40,0,0,T,T,T,F,F,T,T,F,F,F,T,F,T
19,5,12,9,2,2,6,5,1,25,0,1,T,T,T,T,T,F,F,T,T,F,F,F,F
31,5,16,10,3,13,1,5,2,38,0,1,F,F,F,T,T,F,T,F,T,F,F,T,T
48,7,8,12,3,11,1,5,2,40,0,1,T,T,T,T,T,T,T,T,T,T,F,F,F
31,5,7,5,3,8,1,5,2,43,0,1,F,F,F,F,F,T,T,F,T,T,T,F,T
53,7,10,13,3,11,1,5,2,40,0,1,T,T,T,T,T,T,T,T,F,F,T,F,T
24,5,10,13,3,14,1,5,2,50,0,1,T,T,T,F,T,F,T,F,F,F,F,F,T
49,5,12,9,6,2,5,5,1,40,0,0,T,T,T,F,F,T,T,F,F,T,T,F,F
